seed,score,loop,human,cow,pig,rabbit,dog,cat,time
0,97656,0,5,3,7,0,0,0,10
1,95,0,6,3,5,4,4,4,36
3,12207,0,5,4,2,1,3,3,27
2,191,0,7,2,3,5,3,6,43
4,97656,0,7,1,2,2,3,2,24
5,763,0,10,3,6,1,2,5,33
7,1526,0,8,3,5,4,2,2,20
8,3052,0,10,3,4,4,1,3,20
6,3052,0,6,2,1,1,5,6,65
10,48828,0,10,2,2,2,2,3,24
9,763,0,5,1,4,5,5,2,43
13,1526,0,10,3,1,4,4,4,36
11,381,0,9,2,2,4,5,5,53
12,381,0,8,3,4,2,6,3,46
15,95,0,10,6,3,6,1,4,27
16,97656,0,10,2,1,1,3,3,34
14,95,0,10,4,4,3,4,5,41
19,6104,0,8,5,4,2,1,2,16
17,12207,0,5,2,1,2,4,4,42
20,24414,0,6,5,2,2,0,3,16
18,1526,0,9,1,2,3,2,8,48
21,48828,0,5,4,3,1,2,1,17
22,3052,0,7,9,0,1,3,2,24
23,763,0,5,5,5,1,3,3,28
25,6104,0,10,4,1,4,2,3,25
24,1526,0,6,2,4,3,4,3,40
26,3052,0,10,1,2,4,5,3,38
28,381,0,9,2,5,5,4,2,28
27,24414,0,6,3,1,2,5,1,39
30,381,0,7,2,5,4,5,2,33
31,97656,0,9,1,2,2,2,3,31
29,763,0,5,4,4,1,1,7,43
33,97656,0,9,2,3,1,2,2,20
32,12207,0,5,0,3,4,3,3,33
35,48828,0,7,1,3,3,0,4,20
34,95,0,5,3,4,4,4,5,40
36,24414,0,8,3,4,2,0,3,21
37,24414,0,8,2,3,5,2,0,19
38,6104,0,8,0,3,3,4,4,35
39,95,0,10,3,6,6,2,3,27
42,12207,0,7,4,5,2,1,1,12
40,1526,0,7,4,5,2,2,3,32
41,12207,0,10,2,4,0,6,1,31
43,6104,0,5,4,2,1,4,3,32
44,12207,0,5,1,4,2,3,3,32
47,12207,0,6,5,2,3,0,3,16
46,191,0,9,3,5,6,3,2,30
45,191,0,7,5,0,2,4,8,53
48,95,0,8,6,5,2,5,2,38
50,381,0,5,1,6,6,1,4,24
49,48828,0,8,3,0,1,4,3,37
53,24414,0,6,6,1,0,2,3,24
52,24414,0,8,4,1,2,3,2,29
51,191,0,5,2,2,6,2,7,43
54,12207,0,8,5,2,0,3,3,27
55,12207,0,6,3,2,3,5,0,35
56,1526,0,5,4,0,5,3,4,31
57,3052,0,6,0,3,1,4,7,49
59,191,0,6,4,0,6,5,4,41
58,3052,0,10,3,1,2,5,4,52
61,3052,0,5,2,5,1,3,4,32
60,381,0,10,4,4,2,4,4,37
62,1526,0,6,2,3,5,2,4,29
65,763,0,8,4,4,4,3,2,24
63,763,0,9,4,5,2,5,1,31
66,3052,0,8,1,5,8,1,0,10
64,763,0,7,4,4,3,4,2,41
67,97656,0,7,1,3,2,2,2,25
68,48828,0,7,2,3,2,2,2,19
69,6104,0,5,1,3,3,5,2,31
70,95,0,5,5,5,5,0,5,27
71,97656,0,5,0,0,3,2,5,32
73,48828,0,10,2,2,3,1,3,21
74,48828,0,8,3,2,2,4,0,20
72,95,0,6,4,4,4,5,3,45
76,12207,0,7,4,1,3,2,3,25
77,24414,0,9,3,2,3,0,4,20
79,12207,0,9,4,2,3,1,3,20
75,95,0,10,2,2,4,6,6,58
78,48828,0,7,3,1,3,1,3,36
80,1526,0,7,3,4,3,6,0,30
81,1526,0,8,3,4,2,5,2,31
82,97656,0,10,1,1,1,5,2,40
83,191,0,8,5,3,4,6,1,45
84,763,0,5,5,1,2,5,4,40
85,191,0,7,5,3,5,3,3,30
86,191,0,8,10,2,5,0,2,12
87,48828,0,9,0,1,5,2,3,24
88,24414,0,8,2,1,2,1,6,31
89,24414,0,5,1,2,1,4,4,36
90,3052,0,6,1,5,5,2,2,33
92,191,0,7,3,4,6,2,4,28
91,95,0,7,4,2,2,5,7,51
93,24414,0,8,1,0,1,5,5,45
94,24414,0,7,4,1,3,3,1,30
96,97656,0,7,2,1,4,1,2,18
95,6104,0,7,3,1,3,4,3,38
97,3052,0,10,3,3,4,1,4,25
98,97656,0,6,6,0,2,2,0,12
101,24414,0,7,4,2,3,3,0,16
100,6104,0,10,4,3,3,1,3,23
102,97656,0,5,0,3,3,2,2,21
99,191,0,8,4,2,3,6,4,47
105,24414,0,9,2,3,1,4,2,27
103,191,0,5,4,1,4,3,7,50
104,381,0,8,4,5,1,2,6,36
107,48828,0,6,0,4,1,3,3,29
108,48828,0,6,2,2,1,3,3,28
106,3052,0,7,2,5,1,3,4,33
109,12207,0,8,6,1,2,4,0,20
110,3052,0,9,1,3,4,4,3,40
111,1526,0,10,3,4,1,3,5,48
112,97656,0,10,1,2,1,5,1,35
114,1526,0,7,1,7,4,1,3,20
115,6104,0,9,3,2,6,1,2,19
113,191,0,9,5,4,3,4,3,34
116,12207,0,10,4,3,1,2,3,28
117,381,0,9,1,6,3,4,4,35
118,6104,0,7,1,1,3,8,1,39
120,12207,0,7,2,4,2,2,3,26
121,6104,0,9,1,6,2,4,1,25
119,95,0,9,3,0,6,6,5,54
122,48828,0,10,4,0,2,3,2,26
123,48828,0,5,4,2,0,2,3,26
124,95,0,6,5,4,5,2,4,29
126,97656,0,9,2,1,2,3,2,23
125,191,0,6,3,3,5,3,5,38
127,48828,0,5,1,1,3,2,4,27
129,48828,0,7,5,1,1,2,2,18
130,6104,0,10,1,4,5,3,1,19
128,191,0,6,4,6,1,3,5,45
131,191,0,7,7,4,5,1,2,23
134,48828,0,8,3,3,3,1,1,12
133,97656,0,9,0,5,0,4,1,22
132,48828,0,5,3,0,0,4,4,35
136,763,0,10,3,7,3,1,3,21
137,381,0,7,6,2,3,4,3,32
135,763,0,10,1,4,2,7,3,49
138,763,0,8,3,4,3,0,7,33
139,1526,0,8,4,6,2,3,1,22
140,95,0,5,2,6,4,1,7,36
141,1526,0,8,3,3,1,6,3,46
142,3052,0,6,1,3,2,3,6,52
144,97656,0,6,1,2,3,4,0,20
143,3052,0,10,4,2,1,5,3,39
146,191,0,5,4,8,2,4,1,24
147,3052,0,8,1,6,2,4,2,27
145,381,0,9,3,3,3,2,7,42
148,24414,0,5,1,3,5,1,2,16
150,191,0,8,3,7,3,4,2,32
151,763,0,5,4,4,3,4,2,27
149,381,0,5,3,2,2,3,8,53
152,191,0,8,5,3,2,6,3,40
154,6104,0,10,2,3,4,3,2,24
153,6104,0,5,3,3,3,1,4,43
157,1526,0,7,7,2,1,2,4,29
156,95,0,7,6,2,3,5,4,49
155,191,0,10,3,2,3,6,5,52
158,12207,0,10,3,4,3,2,1,24
159,6104,0,8,2,5,2,4,1,24
161,6104,0,6,5,4,3,1,1,17
160,381,0,8,0,8,5,2,3,34
163,6104,0,9,2,3,3,4,2,27
