seed,memory,M,K,stations,Score
0,103504,54,16127,50,708137
1,105296,156,14404,88,1719623
2,104416,80,16747,66,995189
3,109728,577,19626,209,7166342
4,104128,94,13464,67,675270
5,103584,104,13081,54,463291
6,103824,54,17583,48,484550
7,109616,704,12111,207,8968826
8,110976,847,17387,223,12153710
9,101808,66,11966,16,89738
10,107456,344,14476,153,3501673
11,104848,60,17979,55,711906
12,108592,439,18949,177,5144293
13,114320,1475,18912,298,22168019
14,108576,919,11113,164,4744562
15,103680,99,12330,65,810170
16,104368,104,13615,64,780662
17,107312,281,18666,134,3142206
18,106976,239,19121,132,2968591
19,109664,639,14617,198,7566921
20,107312,249,18120,133,3734802
21,104784,158,14254,79,920973
22,105712,185,15754,94,1557810
23,104432,308,11164,76,924688
24,107536,575,11246,164,4352146
25,112784,1248,15336,278,18441364
26,103776,54,15945,47,466442
27,109792,586,18947,188,7099482
28,105440,147,16222,95,1363316
29,108352,399,18192,164,4868393
30,103984,67,15553,50,599351
31,106528,209,18841,119,2357834
32,113184,1306,16251,267,16189697
33,110528,745,15001,217,8289494
34,112000,1054,19570,258,18067301
35,105200,114,17737,78,1024471
36,105312,177,14568,94,1233083
37,113984,1478,18857,280,21224134
38,106384,186,15458,107,2238973
39,105568,175,13710,100,1529630
40,106384,179,18635,119,2326722
41,102016,68,12296,21,126039
42,108032,813,11000,171,5929336
43,105440,156,16291,97,1592148
44,113936,1568,14026,282,23231805
45,111024,886,13749,232,12307751
46,103200,105,12056,46,443544
47,109008,893,11119,175,5835732
48,104800,163,13030,86,1194878
49,112352,1088,13184,263,17483703
50,103680,52,18911,48,1023914
51,101616,64,11745,13,83399
52,104464,95,14530,62,1158004
53,107152,462,11740,156,4035406
54,114096,1513,13598,284,23106402
55,106656,295,13236,139,2916247
56,106208,260,12443,127,2406382
57,106384,221,13917,120,2486606
58,103152,85,12133,54,570879
59,113824,1442,15390,280,17391405
60,106240,190,16848,106,2559434
61,107216,288,14903,139,3087954
62,105760,194,16612,98,2018502
63,103024,227,11069,54,360660
64,102848,63,13043,34,223571
65,104416,123,12571,72,1032173
66,105584,185,14010,98,1733161
67,110032,634,19714,195,6985589
68,104624,71,18572,61,737901
69,104176,65,17384,54,476454
70,105184,128,18664,86,1348600
71,103424,52,15941,41,418323
72,106336,241,16295,107,2330226
73,114080,1561,14135,300,20169593
74,106640,195,19505,122,2864098
75,104112,91,16575,61,603385
76,110384,794,17057,231,10563884
77,112384,1130,17928,262,13797253
78,105696,318,11618,119,2560770
79,105216,107,17969,77,1075188
81,111104,816,19228,230,12508502
82,106576,290,14455,126,2717916
83,104080,97,13041,64,1367473
84,105552,141,18086,94,1623787
85,112000,999,14832,240,13625532
86,105424,190,15932,86,1295420
87,103920,51,18287,37,293174
88,104592,275,11467,87,1153164
89,102848,54,16988,35,310878
90,104832,345,11331,100,1517164
91,107680,415,12653,152,4170917
92,104128,64,19384,58,638439
93,107968,418,19074,164,4244740
94,103568,54,18239,47,472084
95,108416,427,19629,186,5590634
96,112144,1069,17135,256,15748044
97,106880,327,14701,137,3058178
98,109696,603,13081,196,8645704
99,103408,52,18212,38,449096
