seed,time,turn,cands,width,evaluated,pruned,lower,iter,temp,stations,memory,M,K,Score
0,1371,60,326,865,7496,0,992919,2981415,50.4782,47,103712,54,16127,734966
1,976,120,183,205,3669,0,2034188,2949120,51.1613,82,105104,156,14404,1714139
2,1291,70,611,727,9972,0,1435782,3080192,50.652,58,104384,80,16747,1036543
3,1005,290,102,102,409,1311,9638225,1507328,50.799,201,109488,577,19626,7326936
4,1498,70,619,619,8503,2588,760618,2424832,50.7537,59,103792,94,13464,675667
5,1498,70,1023,1023,11641,8119,475097,2447972,51.1983,56,103712,104,13081,474024
6,1292,60,284,729,6281,0,606489,2774715,50.7305,48,104192,54,17583,503729
7,1005,290,83,83,376,1484,13312065,1442471,51.5603,200,109984,704,12111,9051412
8,1006,290,95,95,358,2922,27656776,1330568,53.7294,207,110176,847,17387,12366904
9,1489,30,3522,3522,29218,39510,59492,3901220,51.05,18,101520,66,11966,98266
10,1004,250,21,30,514,0,3365745,2031616,52.0536,150,107296,344,14476,3630833
11,1311,70,0,232,0,0,956925,2493384,50.2773,55,103952,60,17979,730413
12,968,270,16,50,494,0,6340905,1874939,51.6082,156,107920,439,18949,5283827
13,1004,290,78,78,160,1100,98022447,984556,50.4686,281,113744,1475,18912,22421826
14,1000,210,86,86,122,1838,4500947,1513822,52.186,169,108496,919,11113,4891327
15,1384,80,19,478,488,0,996348,2695014,51.106,60,103696,99,12330,822837
16,1486,90,621,621,5625,3239,869983,2360990,52.6293,64,104272,104,13615,803223
17,911,180,0,116,0,0,4338140,2230372,52.1689,126,106640,281,18666,3252398
18,951,160,136,157,2628,0,4408980,2424832,50.2553,119,106640,239,19121,3176240
19,1002,290,78,78,277,1683,9961670,1572864,51.5322,189,108992,639,14617,7637593
20,962,160,231,231,1425,1821,5804049,2475321,50.5173,112,106576,249,18120,3851494
21,1000,100,380,380,3636,5784,991321,3015559,51.8624,77,104544,158,14254,968214
22,911,110,74,173,799,0,2144899,2920006,50.3242,85,105232,185,15754,1589606
23,997,90,428,428,670,5950,884434,2786495,50.3603,77,104144,308,11164,960089
24,1001,220,161,161,538,2502,4444379,1806142,52.5327,150,107312,575,11246,4352469
25,1006,290,94,94,284,1036,58325544,1065287,53.7599,249,112320,1248,15336,18813898
26,1407,70,1,2565,73,0,539960,2800199,50.6865,42,103440,54,15945,472491
27,1004,290,74,74,603,1257,10329790,1638400,50.199,178,108640,586,18947,7046298
28,1444,120,114,325,2257,0,1656683,2117568,52.5196,90,105120,147,16222,1411786
29,990,240,120,120,1031,1055,6643742,1859652,53.356,150,107920,399,18192,4952265
30,1362,60,932,932,14132,1723,778762,2621440,52.0501,49,103472,67,15553,622117
31,966,150,237,237,2515,454,2849611,2555904,51.0202,105,105920,209,18841,2392761
32,1003,290,80,80,131,1369,47800376,1032487,52.3336,277,112848,1306,16251,16250037
33,1005,290,96,96,520,840,11071863,1376256,50.8342,206,109840,745,15001,8536058
34,1005,290,93,93,117,2223,60717844,1175894,50.11,245,111712,1054,19570,18706323
35,1351,100,17,528,364,0,1472319,2334667,51.1955,78,104848,114,17737,1052524
36,974,130,215,234,2124,0,1297903,2767144,50.2495,91,104912,177,14568,1240539
37,1006,290,48,48,87,913,93439579,919040,54.5128,283,113328,1478,18857,21562738
38,968,150,1,62,225,0,2443637,2840145,50.5015,95,105856,186,15458,2243203
39,923,120,277,277,2344,2321,1823941,2818048,52.5683,93,105184,175,13710,1581185
40,984,150,179,179,1103,2519,2767560,2490368,52.1316,110,106032,179,18635,2376244
41,1496,40,2103,2103,21924,22103,111753,3211264,51.4857,23,102096,68,12296,155647
42,1003,240,131,131,283,1577,5353765,1540884,50.5272,171,108320,813,11000,6067350
43,930,120,21,165,459,0,1885913,2821537,51.9608,93,105360,156,16291,1576427
44,1004,290,93,93,322,1018,97680080,930465,52.6622,271,114016,1568,14026,23590605
45,1004,290,107,107,271,2449,29165616,1310720,51.5136,215,110896,886,13749,12301975
46,1498,70,1078,1078,9197,13502,445159,2653169,50.4328,50,102928,105,12056,469788
47,1003,260,168,168,426,1574,5203320,1441792,50.5359,188,108848,893,11119,5809923
48,1000,100,614,614,3185,6775,1308699,2883584,52.4773,84,104912,163,13030,1239816
49,1004,290,68,68,219,1301,47300867,1059665,55.3473,255,111872,1088,13184,17415475
50,1222,50,408,1142,8940,0,1652793,3016460,51.7671,47,103696,52,18911,1023570
51,1485,30,3076,3076,23681,38140,67555,3673359,51.0453,15,101648,64,11745,105177
52,1257,70,34,1467,673,0,1662744,2824067,50.6462,61,104144,95,14530,1188540
53,1003,240,23,23,504,226,3444693,1847731,52.1465,143,107152,462,11740,4023576
54,1002,290,55,55,70,950,111854917,896433,53.3864,296,114496,1513,13598,23214077
55,988,200,143,150,1968,0,2861956,2139642,54.1615,126,106384,295,13236,2988693
56,994,190,62,62,622,346,2131277,2467661,50.8842,112,106048,260,12443,2470175
57,958,160,79,143,2131,0,3159113,2361742,52.1544,114,106064,221,13917,2483644
58,1498,70,1035,1035,8780,8291,635294,2490368,52.2793,46,103264,85,12133,597037
59,1003,290,71,71,77,1183,41162478,926852,50.8192,278,113504,1442,15390,17056000
60,931,130,180,195,2838,0,3542542,2883584,51.3265,97,105856,190,16848,2623957
61,1001,200,15,72,396,0,3193000,2176315,51.6305,129,106624,288,14903,3111044
62,934,120,209,219,2869,0,2967972,2785194,50.0822,88,105328,194,16612,2032820
63,994,50,893,893,1676,16310,364170,3677820,51.5758,43,102928,227,11069,384191
64,1492,50,1171,1171,9395,7998,164401,2465160,50.522,31,102816,63,13043,222059
65,1486,90,524,996,6641,0,1256787,1835008,50.4347,72,104496,123,12571,1057999
66,1000,110,399,399,3265,3855,2208821,2118822,51.6311,92,105536,185,14010,1775321
67,1005,290,64,64,382,538,9995582,1245184,50.2017,185,109216,634,19714,7131728
68,1375,70,142,566,3409,0,1002102,2555904,52.4789,56,103808,71,18572,759809
69,1494,60,857,857,12340,173,563200,2555904,50.5236,49,103632,65,17384,511223
70,1444,110,32,440,1690,0,1729774,2359296,50.5305,76,105024,128,18664,1371548
71,1362,60,28,787,910,0,503482,2896186,52.3199,42,103296,52,15941,451533
72,953,150,182,182,1259,1772,2879476,2555904,50.3413,108,105856,241,16295,2391105
