seed,memory,Score
0,1216,5874084
1,1264,6058894
2,1216,5853084
3,1216,5882571
4,1280,5470729
5,1216,5791857
6,1216,5669327
7,1216,5799872
8,1264,5874084
9,1216,5848921
10,1216,5706512
11,1216,5820107
12,1216,5912673
13,1216,5706512
14,1216,5943416
15,1216,5824188
16,1216,5695255
17,1216,5791857
18,1216,5529489
19,1216,5779918
20,1216,5717857
21,1216,5752437
22,1216,5917025
23,1216,5680382
24,1216,5729292
25,1216,5816037
26,1216,5573467
27,1216,5993092
28,1216,5795859
29,1216,5988504
30,1216,5636661
31,1216,5836501
32,1216,5725470
33,1216,5640254
34,1216,5882571
35,1216,5748554
36,1216,5791857
37,1216,5549620
38,1280,5566613
39,1216,5486812
40,1216,5717857
41,1216,5733124
42,1296,5702750
43,1216,5768076
44,1216,5779918
45,1216,5895395
46,1216,5857260
47,1216,5899695
48,1216,5725470
49,1216,5733124
50,1216,5733124
51,1216,5869860
52,1216,5633076
53,1216,5795859
54,1216,5729292
55,1216,5608232
56,1216,5857260
57,1216,5848921
58,1216,5795859
59,1216,5604718
60,1200,6132894
61,1216,5807932
62,1216,5952322
63,1216,5807932
64,1216,5768076
65,1216,5791857
66,1216,5752437
67,1216,5736966
68,1216,5820107
69,1216,5733124
70,1216,5752437
71,1216,5764150
72,1216,5886833
73,1216,5775960
74,1216,5583809
75,1216,5729292
76,1216,5740818
77,1216,5580353
78,1216,6025618
79,1216,5625934
80,1216,5643856
81,1280,5908334
82,1216,5908334
83,1216,5961283
84,1216,5625934
85,1216,5647467
86,1216,5669327
87,1216,5717857
88,1216,5706512
89,1216,5710284
90,1216,5908334
91,1216,5744681
92,1216,5865648
93,1216,5640254
94,1296,5824188
95,1216,5820107
96,1216,5904008
97,1216,5836501
98,1216,5836501
99,1216,5904008
100,1216,5647467
101,1216,5687800
102,1216,5714065
103,1216,5836501
104,1216,5640254
105,1216,5611755
106,1216,5988504
107,1216,5654717
108,1216,5840629
109,1216,5647467
110,1264,5807932
111,1216,5811979
112,1216,5836501
113,1216,5904008
114,1216,5625934
115,1264,5925769
116,1216,5633076
117,1216,5917025
118,1216,5904008
119,1216,5791857
120,1216,5865648
121,1216,5807932
122,1216,5840629
123,1216,5721658
124,1216,5680382
125,1216,5832385
126,1216,5844769
127,1216,5580353
128,1216,5844769
129,1216,5979373
130,1216,5615287
131,1216,5947862
132,1216,5857260
133,1216,5647467
134,1216,5956796
135,1216,5824188
136,1216,5853084
137,1216,5601212
138,1216,5710284
139,1216,5764150
140,1216,5803897
141,1216,5775960
142,1216,5691523
143,1216,5752437
144,1216,5725470
145,1216,5930160
146,1216,5673003
147,1216,5775960
148,1216,5930160
149,1216,5752437
150,1216,5956796
151,1216,5662004
152,1216,5816037
153,1216,5695255
154,1216,5803897
155,1216,5938984
156,1216,5811979
157,1216,5956796
158,1216,5925769
159,1216,5717857
160,1216,5764150
161,1216,5807932
162,1216,5878321
163,1216,5744681
164,1216,5925769
165,1216,6083141
166,1216,5729292
167,1216,5965784
168,1216,5775960
169,1216,5844769
170,1216,5658356
171,1216,5799872
172,1216,5878321
173,1216,6016249
174,1216,5832385
175,1216,5912673
176,1216,5640254
177,1216,5522841
178,1216,5824188
179,1216,5965784
180,1216,5882571
181,1216,5417348
182,1216,5917025
183,1216,5857260
184,1216,5740818
185,1216,5828281
186,1216,5597714
187,1216,5740818
188,1216,5869860
189,1216,5824188
190,1216,5714065
191,1216,5768076
192,1280,5691523
193,1216,5714065
194,1216,5546245
195,1216,5740818
196,1216,5952322
197,1216,5993092
198,1216,5857260
199,1216,5721658
