seed,turn,time,memory,Score
0,428,1131,1360,5546245
1,380,1119,1280,5717857
2,343,942,1216,5865648
3,376,1004,1216,5733124
4,444,1708,1216,5493297
5,363,1072,1216,5783887
6,378,914,1216,5725470
7,339,982,1216,5882571
8,335,1061,1216,5899695
9,406,1197,1216,5622376
10,331,1038,1216,5917025
11,363,1169,1216,5783887
12,316,952,1264,5983932
13,392,1113,1216,5673003
14,346,972,1216,5853084
15,390,1199,1216,5680382
16,412,1336,1216,5601212
17,393,1299,1280,5669327
18,422,1715,1216,5566613
19,397,1412,1216,5654717
20,346,1142,1216,5853084
21,422,1381,1216,5566613
22,349,1212,1296,5840629
23,406,1381,1216,5622376
24,375,1431,1248,5736966
25,383,1241,1264,5706512
26,362,1200,1216,5787866
27,314,1202,1264,5993092
28,355,1539,1216,5816037
29,348,1440,1232,5844769
30,359,1418,1216,5799872
31,352,1692,1216,5828281
32,443,1974,1216,5496549
33,412,1551,1216,5601212
34,369,1629,1216,5760235
35,382,1899,1216,5710284
36,360,1137,1216,5795859
37,369,1188,1216,5760235
38,422,1342,1280,5566613
39,351,1273,1216,5832385
40,366,1098,1216,5772013
41,374,1053,1216,5740818
42,358,1328,1296,5803897
43,337,1366,1216,5891108
44,355,1118,1216,5816037
45,370,1072,1216,5756331
46,348,827,1296,5844769
47,342,1366,1216,5869860
48,352,1045,1216,5828281
49,382,1296,1216,5710284
50,372,1088,1216,5748554
51,389,1335,1216,5684086
52,398,1374,1344,5651088
53,376,1316,1216,5733124
54,357,1224,1216,5807932
55,367,1348,1216,5768076
56,366,1176,1216,5772013
57,351,1215,1216,5832385
58,358,1186,1264,5803897
59,385,1671,1216,5698998
60,313,1313,1232,5997694
61,380,1491,1216,5717857
62,349,1438,1216,5840629
63,404,1324,1216,5629501
64,343,841,1216,5865648
65,352,891,1216,5828281
66,340,782,1216,5878321
67,370,1133,1264,5756331
68,327,923,1216,5934566
69,397,1053,1216,5654717
70,401,1058,1216,5640254
71,357,1083,1216,5807932
72,351,996,1216,5832385
73,360,1013,1216,5795859
74,416,1291,1216,5587273
75,418,1441,1216,5580353
76,348,1007,1360,5844769
77,400,1189,1216,5643856
78,376,1238,1216,5733124
79,398,1079,1216,5651088
80,373,1014,1216,5744681
81,386,1107,1216,5695255
82,343,1100,1216,5865648
83,331,900,1216,5917025
84,374,924,1216,5740818
85,354,903,1216,5820107
86,370,1098,1328,5756331
87,376,1021,1216,5733124
88,409,1057,1216,5611755
89,348,926,1216,5844769
90,325,1156,1216,5943416
91,396,1153,1248,5658356
92,311,800,1216,6006942
93,371,956,1216,5752437
94,342,782,1216,5869860
95,329,1113,1264,5925769
96,339,928,1216,5882571
97,362,917,1216,5787866
98,362,1228,1232,5787866
99,389,1259,1216,5684086
100,348,1034,1216,5844769
101,363,1106,1216,5783887
102,370,1408,1216,5756331
103,346,1062,1216,5853084
104,394,1271,1216,5665661
105,379,1050,1216,5721658
106,342,1022,1216,5869860
107,389,1022,1216,5684086
108,328,856,1216,5930160
109,386,899,1280,5695255
110,381,1235,1216,5714065
111,394,1094,1216,5665661
112,355,1008,1296,5816037
113,357,1097,1280,5807932
114,372,1035,1216,5748554
115,384,1042,1216,5702750
116,389,1032,1216,5684086
117,319,809,1296,5970300
118,347,960,1216,5848921
119,403,1185,1312,5633076
120,339,979,1216,5882571
121,397,1055,1216,5654717
122,403,1255,1216,5633076
123,366,1081,1216,5772013
124,409,1045,1216,5611755
125,354,977,1216,5820107
126,345,1033,1216,5857260
127,396,1183,1216,5658356
128,372,1074,1296,5748554
129,344,1050,1216,5861448
130,423,1306,1216,5563199
131,407,1149,1216,5618827
132,351,1016,1216,5832385
133,444,1296,1280,5493297
134,321,1096,1232,5961283
135,341,1103,1216,5874084
136,359,1107,1216,5799872
137,368,1068,1216,5764150
138,414,1169,1248,5594225
139,364,1107,1312,5779918
140,429,1488,1216,5542879
141,372,1249,1232,5748554
142,436,1652,1216,5519528
143,388,1192,1216,5687800
144,397,1365,1216,5654717
145,317,1185,1216,5979373
146,421,1503,1216,5570036
147,376,1556,1216,5733124
148,347,947,1216,5848921
149,421,1176,1216,5570036
150,345,1082,1216,5857260
151,353,949,1264,5824188
152,318,885,1216,5974829
153,381,1085,1216,5714065
154,350,1128,1216,5836501
155,353,1322,1216,5824188
156,328,901,1216,5930160
157,330,1186,1216,5921390
158,300,1031,1216,6058894
159,360,1125,1216,5795859
160,415,1330,1216,5590745
161,390,1318,1216,5680382
162,314,846,1216,5993092
163,375,1268,1264,5736966
164,331,1080,1216,5917025
165,314,1039,1216,5993092
166,352,891,1216,5828281
167,368,1074,1232,5764150
168,356,1124,1216,5811979
169,381,1107,1216,5714065
170,424,1195,1216,5559792
171,330,860,1216,5921390
172,341,990,1216,5874084
173,323,948,1216,5952322
174,377,1199,1264,5729292
175,352,1457,1216,5828281
176,357,955,1216,5807932
177,392,1326,1280,5673003
178,438,1426,1216,5512925
179,347,985,1216,5848921
180,361,1311,1216,5791857
181,366,857,1216,5772013
182,356,948,1216,5811979
183,372,860,1216,5748554
184,350,944,1216,5836501
185,387,961,1216,5691523
186,395,1127,1216,5662004
187,379,866,1216,5721658
188,384,1080,1216,5702750
189,355,1071,1216,5816037
190,342,992,1216,5869860
191,422,1583,1216,5566613
192,331,1104,1216,5917025
193,371,993,1264,5752437
194,408,1050,1216,5615287
195,321,767,1328,5961283
196,357,1054,1216,5807932
197,317,925,1216,5979373
198,406,1099,1216,5622376
199,411,1084,1216,5604718
